sha256,case_ratio,characters_count,under_line_count,under_line_ratio,word_count,word_len_avg,operator_count,operator_ratio,string_variables,string_len_word_avg,string_word_ratio,comment_words_count,comment_lines_count,comment_len_word_avg,comment_char_entropy,code_words_count,code_lines_count,code_len_word_avg,code_char_entropy,arithm_funcs_ratio,type_convers_funcs_ratio,text_funcs_ratio,obfuscation_funcs_ratio,high_imp_funcs_ratio,auto_funcs_ratio,open_funcs_ratio,get_funcs_ratio,proces_inters_ratio,lines_count,character_entropy,url_count,macro_size,file_size,macro_file_ratio,amount_of_files,code_files
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.619,0,0,0,0,0,0,0,0,0,8,4.619,0,294,16896,0.017,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.283,293,9,0.031,31,8.839,13,0.419,3,8,0.226,0,0,0,0,31,9,8.839,4.7,0,0,0,0,0,0,0,0,0,9,4.7,0,338,3741696,0,2,2
e3602d9e58e222a605d42b7a2a0320cbdf0060afa9da58e0c2e963cd9fcd425a,0.269,307,9,0.029,29,9.862,9,0.31,3,13.2,0.172,0,0,0,0,29,9,9.862,4.684,0,0,0,0,0,0,0,0,0,9,4.684,0,356,26624,0.013,1,1
b77a8ed707e7a7e88c3b87b571f695ef26dddc9cb09327834ba2ef924a5b6e8c,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,304128,0.001,1,1
e6c220ccf9a522ba0c85c67996f1d93896357b27418a864c42f98d5ecbda2125,0.263,212,7,0.033,21,9.571,7,0.333,2,16,0.095,0,0,0,0,21,7,9.571,4.508,0,0,0,0,0,0,0,0,0,7,4.508,0,247,58880,0.004,1,1
a02601b84ab427a84f6a97daff16660c0551c85b4a0ab139d99abe99f1da82c6,0.273,273,9,0.033,27,9.556,9,0.333,3,13.667,0.111,0,0,0,0,27,9,9.556,4.582,0,0,0,0,0,0,0,0,0,9,4.582,0,318,15872,0.02,2,2
290fe595c3e224cc0b415d461e5da4209276f45033ed2284fb99a49240280bff,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.619,0,0,0,0,0,0,0,0,0,8,4.619,0,294,33792,0.009,1,1
36d25d153fcdff7a12151892b9230c54a719c2ea45456a6583ebb611737cae8d,0.324,311,9,0.029,29,10,9,0.31,3,14,0.172,0,0,0,0,29,9,10,4.743,0,0,0,0,0,0,0,0,0,9,4.743,0,360,291840,0.001,1,1
ef1b2f669b478d792a1a327bc65863018c91ee0614b0e5bcaebcb6646d00b67a,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,76800,0.004,1,1
b4ddb75b09df43c682c7a0a626614a248ab3561a4d9c44f0801d63b8372c8707,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,91136,0.003,1,1
